resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,distance_km,total_time_min,pace_per_km,elevation_per_km,avg_hr,avg_cadence,weekly_km,rolling_pace
2,"{'id': 136751026, 'resource_state': 1}",Morning Run,6067.1,1926,2045,23.2,Run,Run,,WHOOP,11329879247,2024-05-04T12:35:55Z,2024-05-04T08:35:55Z,(GMT-05:00) America/New_York,-14400.0,,,,1,0,0,1,0,"{'id': 'a11329879247', 'summary_polyline': 'maoaGdjaqLL?QcAH]b@Vr@Fl@PLCT?l@F`@BNABGHiAD[@OASDYDw@HYAw@DK?y@PcB@e@BU?i@FaALi@LkA\\iGr@cLIQ?k@CGWCO@s@Io@AcAG[Iw@?UCKEmAG]GW?s@Ce@GKGGOESBe@Fc@J}AFQNaB@eAA_@Du@@{@BUDqACq@BQAw@EkBES@g@GcB?sAWoCc@wCOm@GMs@qDIO_@mBe@_BIk@[gAEm@Kc@AOEOIgACk@Is@I_AQgAo@kCGk@K_@Kk@Mc@I_@Qa@k@qCWo@Ig@Og@SaAUw@Mq@GM[_Bi@{BIy@Ik@BGRGf@WpDqAbBu@rBs@pCgAVOJCLI|D{ADSHWROJCJKb@Mb@UPEj@UXOb@KVS`A[LNNl@dB`KL|@FZN`@?NHh@Nl@Af@?PNn@AnA@n@@NLf@@~@F^Gl@?ZId@Br@EHCPDdAM|ADRA`@Kb@?d@Gd@SpE@f@Gp@Mh@YpIa@pH?b@Bz@@FJT?LCNg@rA@\\A\\Mh@Q^St@I~@Al@?\\CLMT@LGZJ`@Gt@@n@AhABFNDl@FJFFDF^Cx@IzABRAp@HBH@BDEL?RPr@FL?NA`AKzBCGEFA`@UxAKvAER?b@BRB^Gn@?d@MnBSfB@p@Md@?~@Kp@?f@Gz@?t@Y`FYhBBn@AVa@|GG^EJOPG?SRk@J]LW~@@H', 'resource_state': 2}",False,False,False,False,everyone,False,,"[42.353035965934396, -71.11858896911144]","[42.35233549028635, -71.1188504844904]",3.15,8.081,,False,,,False,False,14.6,3.3,12101726031,12101726031,stripped_ExampleSettings.fit,False,0,1,False,6.0671,32.1,5.290830874717741,3.823902688269519,,,6.0671,5.290830874717741
2,"{'id': 136751026, 'resource_state': 1}",Afternoon Run,0.0,1619,1619,0.0,Run,Run,,WHOOP,11356167119,2024-05-07T20:10:30Z,2024-05-07T16:10:30Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,"{'id': 'a11356167119', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,,True,156.7,173.0,False,True,0.0,0.0,12128764743,12128764743,ExampleSettings.fit,False,0,1,False,0.0,26.983333333333334,inf,,156.7,,6.0671,5.290830874717741
2,"{'id': 136751026, 'resource_state': 1}",Morning Run,7679.5,2526,2570,6.5,Run,Run,,WHOOP,11386322596,2024-05-11T14:54:37Z,2024-05-11T10:54:37Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,"{'id': 'a11386322596', 'summary_polyline': 'gxnaG`gaqLPqDLo@Ak@rA{TBm@@q@B]FWHgBNwBDeBFs@DsANyACGSCWKGMOKgAKOY?i@FWB_@Mu@AeAD]Ei@?SBi@Nc@Dc@Ji@@c@C]GI{@ICB?L@BBO?w@JmAAYBM@u@B_@Aa@@Q?WBc@?_@J}AAQ@_@?a@@MASHi@AIBs@Jg@?eCD_AA[LuA@wALmBDoCJyACwAFe@Am@LmCJwFHyBBW?eACOMc@Gc@GQAWGWKWW]CYJUAUO_@]s@AWWo@]}AQwAKi@c@_IOs@IKDU@]GiBEO@IEa@?]MkAAu@CYGUE_A?iAGMWuAWs@UcA[kBGQEAUWIOIg@Sw@ECOJM@WHMAYKQMQ]yAkIAOIi@Ki@Ii@ISEc@?i@AUUu@Q[IYEYOo@_@aCa@mBGk@e@gCYy@o@eCEe@GS@GCOQw@YkB[y@KKEOYc@k@q@o@o@OkA?MDUDHTz@\\`@LBt@AHBVRZd@P`@\\lAz@bFXnABdASbAE`@@DLh@XdB^lB@VJVFl@^vAD^FZL`@\\t@BN@RANHpATtAFNP|@HVBZLf@b@bDPl@\\n@XVLDL?l@QB?JDR\\BJ?NL`@b@t@\\xBR`AL`@RlAd@xGDz@DND`@NjD?Bm@PGH@B@DJ?j@UB@BHFB`@MLKf@O`@Qt@EPJREL@BZA\\Pp@NjALf@DXTlADNJLALV~@VvALLF?PD@DMz@B|@N`ACh@E\\?f@BLGr@DXKx@EnDIpC@\\GnA@f@Eb@HnBAVKXBj@M\\@\\E|@CrBGhAG`@An@FXLAVKJAF@b@Zt@DFDDF@J[xEKLAZDfAKt@Ep@@TI|@G`@EHU?UHUI?QJcA?m@HWPK?UFo@Aq@GQBq@AQBSE_A@o@HM@KE_@EGAOEECCMASFMGJaD', 'resource_state': 2}",False,False,False,False,everyone,False,,"[42.35293596982956, -71.11791699193418]","[42.35007606446743, -71.0979222971946]",3.04,7.733,,True,159.2,179.0,False,True,14.6,1.6,12159790274,12159790274,ExampleSettings.fit,False,0,1,False,7.6795,42.1,5.482127742691581,0.8464092714369426,159.2,,13.7466,5.386479308704661
2,"{'id': 136751026, 'resource_state': 1}",Evening Run,3924.0,1442,1462,19.7,Run,Run,,WHOOP,11412864557,2024-05-15T00:00:21Z,2024-05-14T20:00:21Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,"{'id': 'a11412864557', 'summary_polyline': 'kxnaGldaqLNwACSNeCRcADa@B}BRwAx@}MAOFi@PaDBU?SGWBcAHa@T_CNeC@cAHq@@i@J}@HeBHk@DmAHs@FE^FT?TI^@d@EPBHEFAt@LVHLBh@V\\?fALXJX@b@Jb@Db@Jb@Fd@Eb@UL?HCXSVWH@DBZzBRv@`ArFFJHZ@XF`@lAhHJ\\X|AB`@Hh@Jb@ZjB\\vAHr@X|AHz@Nr@N`@^tBVfAd@fCDNHt@Pt@Jz@j@rCfA`GJ^Jv@Jd@CPGBUAKE_EkCi@Si@_@eBy@iA]{AOo@@YFK?o@EICI@OEa@C_@Ic@B]C[B_@AMBWE_@Ai@DsBCuAF]Cw@?c@A}B?sAMg@?w@Ee@OM@', 'resource_state': 2}",False,False,False,False,everyone,False,,"[42.352927923202515, -71.11807893030345]","[42.352851731702685, -71.1181355919689]",2.721,5.365,,True,154.7,170.0,False,True,17.8,4.7,12187115773,12187115773,ExampleSettings.fit,False,0,1,False,3.924,24.033333333333335,6.124702684335713,5.020387359836901,154.7,,17.6706,5.6325537672483454
2,"{'id': 136751026, 'resource_state': 1}",Afternoon Run,0.0,2519,2519,0.0,Run,Run,,WHOOP,11419863329,2024-05-15T20:10:30Z,2024-05-15T16:10:30Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,1,1,0,"{'id': 'a11419863329', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,,True,155.9,185.0,False,True,0.0,0.0,12194304531,12194304531,ExampleSettings.fit,False,0,1,False,0.0,41.983333333333334,inf,,155.9,,17.6706,5.6325537672483454
2,"{'id': 136751026, 'resource_state': 1}",Evening Run,11000.2,3935,4208,26.8,Run,Run,,WHOOP,11467384722,2024-05-21T22:51:08Z,2024-05-21T18:51:08Z,(GMT-05:00) America/New_York,-14400.0,,,,9,0,0,1,0,"{'id': 'a11467384722', 'summary_polyline': 'oaoaGledqLA_@L_AFk@?i@PyA@a@TgC@yAVsC?SNsBA[JeADuAHe@?w@FYBc@AUL{@LkCRyBA]Dc@RcBDq@BSC{@J_BAUPyA?SRmB?w@Gs@F]Fe@FWA[Jo@z@iOBMJ_AEE?QF]VmELuB?[XwB@sA\\sFHo@DqAHOFi@J}BPiBDq@?]@a@BK@sARsDJi@DKFmCFgALmA?sBDQD_@HY@U?e@EGSA[_@Qa@k@q@WBk@ASR[l@[RM?GKGEs@KCBAJDG@m@JoB@iAJaDNmCASBU?mALeCFmDHgBBgBDYBcCNcELwEH}AAc@DaA@qADc@FqBBeBKi@GKMu@Iw@]u@AM@_@E_@KY_@m@GYE]Qi@k@{CM_BCcACMKgBO}A@UIWEsAMgCIa@SyAQs@M}@_@aBAUEMMy@Me@S{AOi@?OKY?QGe@Ey@@YEMKCO[m@PO?e@MSWMa@UoAQs@@MGOUgAAMI_@OeAMm@Im@Og@?kAGc@i@qA]wAMeAS_A[wBK]]yBI]MUWu@E]AUE[AMK[s@wDYkAWk@a@i@I@KJGH?HDDBJB?CKGC?GHQJMB?b@r@j@xARpANn@JbA`@|BRt@Zp@Jv@Nn@NfAZvAZ|BT~@Nv@^v@JZDv@CRD`@^dBVfBHNLbAZxABXN~@Tn@b@\\V@XEZQHDJX?HBFDb@Dh@^vC\\`BNhAr@dDFt@\\zAN`ANrBBjAEFg@RAJBBD?h@WB@BJF?h@SRE`Aa@^Kf@[D@LRR|@fAjGb@xC\\zA@b@H\\LnAPd@P`AJP@j@Pl@Fd@Rr@@XL^HxAXjAPb@RzABv@?nAAd@Gb@cBnYI@CNCvA@PMn@El@?`@QbACfAG`@CbAQzAA`@EVEb@?f@Il@@TCP?fAKv@GR?XCf@CJ?`@GjAGh@A\\Ix@GhBGn@EH@RGtAAJ?TM`AKhBA^E^AjAEjAEVAd@SdCAVEb@Cn@IfAAtAQrCCf@@TGVSrCIl@ItB]rGIb@E^@TM|AEnAMbBInBG~@GR?r@SnA@p@K~Bo@xJ?`@DjA?jAw@nMAn@_@|EEz@DV?NIv@Ml@G~ABTKXANQ~CMdA?XDRML@TGlAQ`C', 'resource_state': 2}",False,False,False,False,everyone,False,,"[42.35230615362525, -71.13512495532632]","[42.35233289189637, -71.13509578630328]",2.795,10.445,,True,154.2,174.0,False,True,17.0,1.6,12243279255,12243279255,ExampleSettings.fit,False,1,1,False,11.000200000000001,65.58333333333333,5.962012811888267,2.43631933964837,154.2,,28.6708,5.856281079638521
2,"{'id': 136751026, 'resource_state': 1}",Lunch Run,4232.0,1424,1552,20.4,Run,Run,,WHOOP,11488598156,2024-05-24T19:27:35Z,2024-05-24T12:27:35Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,0,0,1,0,"{'id': 'a11488598156', 'summary_polyline': '_avlEfr|mUV]^q@RULULQE?@BMS[We@o@OIIOSM{@_Aa@Yy@_A}@u@O[}BuBeBiB]Yu@y@GCa@]e@k@IGY]o@o@MQKIQGB@@CCB@@@CEBBAMUs@{@GE[Gg@{@m@{@EGASYEo@gAC?ELs@o@m@U_AgAOOKOm@o@GCk@e@KQOMKM_Aw@QUuAoAOUQKQWi@e@YUg@k@SMOQa@[QGKXMJ]n@GHKBCBOd@?NFR^j@NJxB~Bh@d@`@h@r@j@PVLH\\^d@ZPVZ\\ZTP@ABI?CAk@i@]e@WMQOk@m@e@]Yc@]SY_@SQOQ]YGM{@y@GK_@WQYCc@BQf@aAh@{@JIN?d@j@dB~AJPTTxBpBj@t@PHPRXRn@p@d@XJPb@`@v@bAPNFNB@RELHhAjAT\\TLDVVJDJBXJFT?DBv@rAB@JEHBb@d@\\f@zAzADHPRj@d@LRr@h@j@r@r@j@', 'resource_state': 2}",False,False,False,False,everyone,False,,"[33.70628887787461, -117.79135700315237]","[33.70622517541051, -117.78808881528676]",2.972,9.067,,True,158.9,172.0,False,True,38.3,23.3,12265108923,12265108923,ExampleSettings.fit,False,0,1,False,4.232,23.733333333333334,5.608065532451166,4.820415879017013,158.9,,32.9028,5.7942271928416815
2,"{'id': 136751026, 'resource_state': 1}",Afternoon Run,11406.1,3590,3975,19.2,Run,Run,,WHOOP,11497900250,2024-05-26T00:11:48Z,2024-05-25T17:11:48Z,(GMT-08:00) America/Los_Angeles,-25200.0,,,,0,0,0,1,0,"{'id': 'a11497900250', 'summary_polyline': 'chvlEjl}mUNLh@jACv@`C`CVLFJBVIVq@v@Wh@y@vAe@f@o@jABNd@f@@L_@b@e@|@E\\Ux@Sl@BJr@Xl@JvAp@ZVT\\fA`@lApA\\NPVzBlBTb@TTJB`AjAlAhAHPnA`Ax@`Ap@h@^h@nBhBJP?DGADCC@`@VRZd@RZb@~@z@BJd@V`@j@b@RTd@t@p@VLfAxAl@l@\\Nf@l@fAp@~AhBjAbAT\\ZLT\\f@^hArAdB~Af@v@nAfAXLr@x@bAt@tB`Cf@r@HX`@l@r@rBr@lCV~BGR@EHz@Rn@F~@Z`BTr@?Rz@jBTt@d@t@d@b@Vh@^h@r@p@JV^VbA`A~@rAXFfAdAd@t@zB|BJN?LDCGCFLr@j@f@Rh@l@x@~A~@bAVp@X~AZ\\Rj@C`Al@hCBzAFp@Lj@CNP\\F`B|@fD`@n@?^\\\\Nb@Fd@T^TJb@j@h@b@p@v@JTCAdA~@t@~@f@`A~@j@v@z@LVv@v@x@\\d@b@r@^v@z@\\RtA`@bA`AbAN^TjA`@HACAL}@KU[BsAk@c@c@iAWi@c@o@Wy@o@i@OGSt@}A`@kB^qGA}@Ro@n@sA`A_Bd@mBXgCBe@Cs@K]GsAM{@e@}AQgAAc@Om@D{@Ji@`@i@bAu@`AaATKn@q@RW^Ub@gALa@Be@DIA_BYu@g@{@m@{@a@kAA_@Fy@I}C]iAu@_AgAq@oCsA[EOOCI@Un@aAFo@\\_ALULG\\o@Zy@b@s@AEs@m@YIWc@eCgCSc@_@a@USu@_@e@k@}AsAeAkAs@}@i@W[a@_@Qo@_AoB_B_A}A_@Sw@q@wAgBiAaAu@eAgBuAeAyAsAgAyA}AeBuAcAmA]m@cBcAYe@eAmA_Ak@UY_@UGUa@g@eAcAeDwBgA}Am@i@YMO[@C@B_AiA_@Kc@g@Yk@gAk@W[c@}@y@y@UMO]_Aw@c@o@oBoBmAy@o@aAcBmA{@_BsAsAOUq@k@kAwAi@ISo@[Wg@q@QG{EqEq@g@gAeAy@aAeA}@Ua@u@s@QIOWcBwAuB_CoCkC_@SSHm@t@K\\]`@', 'resource_state': 2}",False,False,False,False,everyone,False,,"[33.7062169611454, -117.79189696535468]","[33.70616063475609, -117.79153821989894]",3.177,5.242,,True,156.7,175.0,False,True,26.7,12.3,12274726965,12274726965,ExampleSettings.fit,False,0,1,False,11.4061,59.833333333333336,5.245731085413361,1.6833098079098026,156.7,,38.2418,5.735128028522126
2,"{'id': 136751026, 'resource_state': 1}",Evening Run,0.0,5309,5309,0.0,Run,Run,,WHOOP,11513354592,2024-05-27T23:04:30Z,2024-05-27T19:04:30Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,"{'id': 'a11513354592', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,,True,145.8,182.0,False,True,0.0,0.0,12290674640,12290674640,ExampleSettings.fit,False,0,1,False,0.0,88.48333333333333,inf,,145.8,,38.2418,5.605269809917598
2,"{'id': 136751026, 'resource_state': 1}",Lunch Run,0.0,5669,5669,0.0,Run,Run,,WHOOP,11526416973,2024-05-29T15:36:00Z,2024-05-29T11:36:00Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,"{'id': 'a11526416973', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,,[],[],0.0,0.0,,True,128.9,168.0,False,True,0.0,0.0,12304149961,12304149961,ExampleSettings.fit,False,0,1,False,0.0,94.48333333333333,inf,,128.9,,30.5623,5.605269809917598
